Concurrent workers; 68
Granulatiry; 200
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(29) stopped --- 2 stopped workers
place(0) worker(55) stopped --- 2 stopped workers
place(0) worker(48) stopped --- 0 stopped workers
place(0) worker(33) stopped --- 2 stopped workers
place(0) worker(62) stopped --- 1 stopped workers
place(0) worker(41) stopped --- 0 stopped workers
place(0) worker(49) stopped --- 0 stopped workers
place(0) worker(18) stopped --- 0 stopped workers
place(0) worker(14) stopped --- 0 stopped workers
place(0) worker(52) stopped --- 12 stopped workers
place(0) worker(21) stopped --- 1 stopped workers
place(0) worker(10) stopped --- 14 stopped workers
place(0) worker(51) stopped --- 15 stopped workers
place(0) worker(55) stopped --- 15 stopped workers
place(0) worker(22) stopped --- 15 stopped workers
place(0) worker(63) stopped --- 15 stopped workers
place(0) worker(39) stopped --- 0 stopped workers
place(0) worker(48) stopped --- 15 stopped workers
place(0) worker(35) stopped --- 15 stopped workers
place(0) worker(39) stopped --- 18 stopped workers
place(0) worker(31) stopped --- 31 stopped workers
place(0) worker(6) stopped --- 30 stopped workers
place(0) worker(54) stopped --- 15 stopped workers
place(0) worker(26) stopped --- 15 stopped workers
place(0) worker(7) stopped --- 32 stopped workers
place(0) worker(0) stopped --- 15 stopped workers
place(0) worker(14) stopped --- 14 stopped workers
place(0) worker(27) stopped --- 14 stopped workers
place(0) worker(58) stopped --- 9 stopped workers
place(0) worker(44) stopped --- 34 stopped workers
place(0) worker(29) stopped --- 7 stopped workers
place(0) worker(56) stopped --- 5 stopped workers
place(0) worker(0) stopped --- 37 stopped workers
place(0) worker(52) stopped --- 6 stopped workers
place(0) worker(11) stopped --- 0 stopped workers
place(0) worker(6) stopped --- 5 stopped workers
place(0) worker(58) stopped --- 39 stopped workers
place(0) worker(55) stopped --- 0 stopped workers
place(0) worker(21) stopped --- 0 stopped workers
place(0) worker(21) stopped --- 41 stopped workers
place(0) worker(37) stopped --- 0 stopped workers
place(0) worker(23) stopped --- 0 stopped workers
place(0) worker(9) stopped --- 0 stopped workers
place(0) worker(33) stopped --- 47 stopped workers
place(0) worker(65) stopped --- 47 stopped workers
place(0) worker(43) stopped --- 47 stopped workers
place(0) worker(23) stopped --- 45 stopped workers
place(0) worker(63) stopped --- 49 stopped workers
place(0) worker(49) stopped --- 44 stopped workers
place(0) worker(66) stopped --- 43 stopped workers
place(0) worker(17) stopped --- 43 stopped workers
place(0) worker(2) stopped --- 41 stopped workers
place(0) worker(18) stopped --- 50 stopped workers
place(0) worker(46) stopped --- 41 stopped workers
place(0) worker(22) stopped --- 51 stopped workers
place(0) worker(32) stopped --- 41 stopped workers
place(0) worker(54) stopped --- 38 stopped workers
place(0) worker(45) stopped --- 57 stopped workers
place(0) worker(1) stopped --- 60 stopped workers
place(0) worker(16) stopped --- 37 stopped workers
place(0) worker(37) stopped --- 38 stopped workers
place(0) worker(47) stopped --- 37 stopped workers
place(0) worker(15) stopped --- 36 stopped workers
place(0) worker(34) stopped --- 36 stopped workers
place(0) worker(26) stopped --- 36 stopped workers
place(0) worker(60) stopped --- 35 stopped workers
place(0) worker(57) stopped --- 35 stopped workers
place(0) worker(41) stopped --- 34 stopped workers
place(0) worker(56) stopped --- 63 stopped workers
place(0) worker(32) stopped --- 31 stopped workers
place(0) worker(3) stopped --- 35 stopped workers
place(0) worker(12) stopped --- 36 stopped workers
place(0) worker(28) stopped --- 35 stopped workers
place(0) worker(64) stopped --- 35 stopped workers
place(0) worker(17) stopped --- 30 stopped workers
place(0) worker(52) stopped --- 37 stopped workers
place(0) worker(50) stopped --- 37 stopped workers
place(0) worker(23) stopped --- 37 stopped workers
place(0) worker(53) stopped --- 37 stopped workers
place(0) worker(13) stopped --- 37 stopped workers
place(0) worker(45) stopped --- 37 stopped workers
place(0) worker(67) stopped --- 35 stopped workers
place(0) worker(16) stopped --- 35 stopped workers
place(0) worker(15) stopped --- 35 stopped workers
place(0) worker(9) stopped --- 35 stopped workers
place(0) worker(34) stopped --- 35 stopped workers
place(0) worker(22) stopped --- 32 stopped workers
place(0) worker(19) stopped --- 35 stopped workers
place(0) worker(36) stopped --- 35 stopped workers
place(0) worker(8) stopped --- 34 stopped workers
place(0) worker(4) stopped --- 32 stopped workers
place(0) worker(38) stopped --- 32 stopped workers
place(0) worker(24) stopped --- 35 stopped workers
place(0) worker(30) stopped --- 32 stopped workers
place(0) worker(51) stopped --- 31 stopped workers
place(0) worker(61) stopped --- 30 stopped workers
place(0) worker(3) stopped --- 30 stopped workers
place(0) worker(5) stopped --- 31 stopped workers
place(0) worker(10) stopped --- 32 stopped workers
place(0) worker(29) stopped --- 32 stopped workers
place(0) worker(60) stopped --- 32 stopped workers
place(0) worker(47) stopped --- 32 stopped workers
place(0) worker(25) stopped --- 32 stopped workers
place(0) worker(44) stopped --- 32 stopped workers
place(0) worker(42) stopped --- 25 stopped workers
place(0) worker(66) stopped --- 25 stopped workers
place(0) worker(12) stopped --- 3 stopped workers
place(0) worker(33) stopped --- 5 stopped workers
place(0) worker(0) stopped --- 3 stopped workers
place(0) worker(17) stopped --- 2 stopped workers
place(0) worker(59) stopped --- 0 stopped workers
place(0) worker(65) stopped --- 0 stopped workers
place(0) worker(2) stopped --- 0 stopped workers
place(0) worker(18) stopped --- 0 stopped workers
place(0) worker(43) stopped --- 0 stopped workers
place(0) worker(1) stopped --- 1 stopped workers
place(0) worker(20) stopped --- 0 stopped workers
place(0) worker(46) stopped --- 0 stopped workers
place(0) worker(27) stopped --- 1 stopped workers
place(0) worker(25) stopped --- 0 stopped workers
place(0) worker(64) stopped --- 0 stopped workers
place(0) worker(40) stopped --- 0 stopped workers
place(0): resumed after waiting on handist.collections.glb.GlbOperation@5
place(0) worker(6) stopped --- 68 stopped workers
place(0) worker(54) stopped --- 67 stopped workers
place(0) worker(58) stopped --- 66 stopped workers
place(0) worker(25) stopped --- 65 stopped workers
place(0) worker(53) stopped --- 64 stopped workers
place(0) worker(48) stopped --- 62 stopped workers
place(0) worker(12) stopped --- 63 stopped workers
place(0) worker(62) stopped --- 63 stopped workers
place(0) worker(34) stopped --- 62 stopped workers
place(0) worker(10) stopped --- 62 stopped workers
place(0) worker(38) stopped --- 61 stopped workers
place(0) worker(11) stopped --- 60 stopped workers
place(0) worker(14) stopped --- 61 stopped workers
place(0) worker(67) stopped --- 59 stopped workers
place(0) worker(57) stopped --- 58 stopped workers
place(0) worker(40) stopped --- 56 stopped workers
place(0) worker(0) stopped --- 56 stopped workers
place(0) worker(20) stopped --- 54 stopped workers
place(0) worker(24) stopped --- 54 stopped workers
place(0) worker(44) stopped --- 53 stopped workers
place(0) worker(5) stopped --- 49 stopped workers
place(0) worker(35) stopped --- 50 stopped workers
place(0) worker(55) stopped --- 50 stopped workers
place(0) worker(28) stopped --- 50 stopped workers
place(0) worker(59) stopped --- 50 stopped workers
place(0) worker(27) stopped --- 49 stopped workers
place(3) worker(23) stopped --- 1 stopped workers
place(3) worker(54) stopped --- 3 stopped workers
place(3) worker(62) stopped --- 1 stopped workers
place(3) worker(20) stopped --- 0 stopped workers
place(3) worker(0) stopped --- 0 stopped workers
place(3) worker(59) stopped --- 0 stopped workers
place(3) worker(6) stopped --- 0 stopped workers
place(3) worker(29) stopped --- 0 stopped workers
place(3) worker(2) stopped --- 8 stopped workers
place(3) worker(37) stopped --- 15 stopped workers
place(3) worker(19) stopped --- 19 stopped workers
place(3) worker(13) stopped --- 39 stopped workers
place(3) worker(39) stopped --- 51 stopped workers
place(3) worker(33) stopped --- 55 stopped workers
place(3) worker(15) stopped --- 62 stopped workers
place(3) worker(23) stopped --- 8 stopped workers
place(3) worker(38) stopped --- 66 stopped workers
place(3) worker(17) stopped --- 4 stopped workers
place(3) worker(4) stopped --- 7 stopped workers
place(3): resumed after waiting on handist.collections.glb.GlbOperation@5
place(3) worker(32) stopped --- 3 stopped workers
place(3) worker(45) stopped --- 3 stopped workers
place(3) worker(36) stopped --- 3 stopped workers
place(3) worker(5) stopped --- 2 stopped workers
place(3) worker(11) stopped --- 68 stopped workers
place(3) worker(44) stopped --- 66 stopped workers
place(3) worker(59) stopped --- 66 stopped workers
place(3) worker(28) stopped --- 62 stopped workers
place(3) worker(27) stopped --- 63 stopped workers
place(3) worker(35) stopped --- 63 stopped workers
place(3) worker(5) stopped --- 62 stopped workers
place(3) worker(45) stopped --- 63 stopped workers
place(3) worker(14) stopped --- 63 stopped workers
place(3) worker(65) stopped --- 62 stopped workers
place(3) worker(30) stopped --- 61 stopped workers
place(3) worker(4) stopped --- 60 stopped workers
place(3) worker(8) stopped --- 58 stopped workers
place(3) worker(21) stopped --- 59 stopped workers
place(3) worker(46) stopped --- 60 stopped workers
place(3) worker(63) stopped --- 56 stopped workers
place(3) worker(17) stopped --- 51 stopped workers
place(3) worker(7) stopped --- 50 stopped workers
place(3) worker(26) stopped --- 51 stopped workers
place(3) worker(58) stopped --- 51 stopped workers
place(3) worker(49) stopped --- 51 stopped workers
place(3) worker(29) stopped --- 51 stopped workers
place(3) worker(48) stopped --- 51 stopped workers
place(3) worker(55) stopped --- 51 stopped workers
place(3) worker(67) stopped --- 51 stopped workers
place(3) worker(34) stopped --- 51 stopped workers
place(3) worker(1) stopped --- 51 stopped workers
place(3) worker(10) stopped --- 51 stopped workers
place(3) worker(43) stopped --- 51 stopped workers
place(3) worker(52) stopped --- 51 stopped workers
place(3) worker(54) stopped --- 51 stopped workers
place(3) worker(61) stopped --- 51 stopped workers
place(3) worker(22) stopped --- 51 stopped workers
place(3) worker(50) stopped --- 51 stopped workers
place(3) worker(60) stopped --- 51 stopped workers
place(3) worker(0) stopped --- 48 stopped workers
place(3) worker(40) stopped --- 47 stopped workers
place(3) worker(41) stopped --- 47 stopped workers
place(3) worker(56) stopped --- 47 stopped workers
place(3) worker(31) stopped --- 17 stopped workers
place(3) worker(62) stopped --- 18 stopped workers
place(3) worker(57) stopped --- 20 stopped workers
place(3) worker(18) stopped --- 16 stopped workers
place(3) worker(66) stopped --- 18 stopped workers
place(3) worker(12) stopped --- 23 stopped workers
place(3) worker(59) stopped --- 23 stopped workers
place(3) worker(53) stopped --- 21 stopped workers
place(3) worker(51) stopped --- 20 stopped workers
place(3) worker(24) stopped --- 21 stopped workers
place(3) worker(9) stopped --- 19 stopped workers
place(3) worker(16) stopped --- 19 stopped workers
place(3) worker(47) stopped --- 19 stopped workers
place(3) worker(25) stopped --- 19 stopped workers
place(3) worker(42) stopped --- 19 stopped workers
place(3) worker(64) stopped --- 17 stopped workers
place(3) worker(3) stopped --- 17 stopped workers
place(3) worker(20) stopped --- 7 stopped workers
place(3) worker(14) stopped --- 5 stopped workers
place(3) worker(44) stopped --- 5 stopped workers
place(3) worker(6) stopped --- 7 stopped workers
place(1) worker(53) stopped --- 2 stopped workers
place(1) worker(16) stopped --- 14 stopped workers
place(1) worker(18) stopped --- 15 stopped workers
place(1) worker(9) stopped --- 14 stopped workers
place(1) worker(64) stopped --- 13 stopped workers
place(1) worker(46) stopped --- 13 stopped workers
place(1) worker(54) stopped --- 14 stopped workers
place(1) worker(7) stopped --- 14 stopped workers
place(1) worker(34) stopped --- 14 stopped workers
place(1) worker(57) stopped --- 15 stopped workers
place(1) worker(47) stopped --- 15 stopped workers
place(1) worker(3) stopped --- 15 stopped workers
place(1) worker(66) stopped --- 6 stopped workers
place(1) worker(32) stopped --- 2 stopped workers
place(1) worker(36) stopped --- 0 stopped workers
place(1) worker(19) stopped --- 1 stopped workers
place(1) worker(24) stopped --- 3 stopped workers
place(1) worker(30) stopped --- 15 stopped workers
place(1) worker(32) stopped --- 4 stopped workers
place(1) worker(41) stopped --- 2 stopped workers
place(1) worker(54) stopped --- 2 stopped workers
place(1) worker(8) stopped --- 0 stopped workers
place(1) worker(1) stopped --- 0 stopped workers
place(1) worker(28) stopped --- 1 stopped workers
place(1) worker(17) stopped --- 4 stopped workers
place(1) worker(26) stopped --- 0 stopped workers
place(1) worker(33) stopped --- 3 stopped workers
place(1) worker(12) stopped --- 14 stopped workers
place(1) worker(6) stopped --- 18 stopped workers
place(1) worker(53) stopped --- 1 stopped workers
place(1) worker(16) stopped --- 10 stopped workers
place(1) worker(56) stopped --- 12 stopped workers
place(1) worker(40) stopped --- 1 stopped workers
place(1) worker(65) stopped --- 15 stopped workers
place(1) worker(58) stopped --- 0 stopped workers
place(1) worker(9) stopped --- 15 stopped workers
place(1) worker(13) stopped --- 13 stopped workers
place(1) worker(67) stopped --- 8 stopped workers
place(1) worker(56) stopped --- 10 stopped workers
place(1) worker(42) stopped --- 13 stopped workers
place(1) worker(50) stopped --- 17 stopped workers
place(1) worker(44) stopped --- 11 stopped workers
place(1) worker(61) stopped --- 22 stopped workers
place(1) worker(62) stopped --- 10 stopped workers
place(1) worker(0) stopped --- 25 stopped workers
place(1) worker(46) stopped --- 10 stopped workers
place(1) worker(38) stopped --- 10 stopped workers
place(1) worker(22) stopped --- 18 stopped workers
place(1) worker(50) stopped --- 18 stopped workers
place(1) worker(49) stopped --- 37 stopped workers
place(1) worker(60) stopped --- 18 stopped workers
place(1) worker(30) stopped --- 18 stopped workers
place(1) worker(61) stopped --- 18 stopped workers
place(1) worker(58) stopped --- 18 stopped workers
place(1) worker(57) stopped --- 18 stopped workers
place(1) worker(9) stopped --- 39 stopped workers
place(1) worker(43) stopped --- 17 stopped workers
place(1) worker(65) stopped --- 17 stopped workers
place(1) worker(27) stopped --- 13 stopped workers
place(1) worker(54) stopped --- 39 stopped workers
place(1) worker(37) stopped --- 11 stopped workers
place(1) worker(39) stopped --- 11 stopped workers
place(1) worker(44) stopped --- 13 stopped workers
place(1) worker(64) stopped --- 7 stopped workers
place(1) worker(10) stopped --- 2 stopped workers
place(1) worker(35) stopped --- 5 stopped workers
place(1) worker(2) stopped --- 6 stopped workers
place(1) worker(49) stopped --- 4 stopped workers
place(1) worker(59) stopped --- 3 stopped workers
place(1) worker(47) stopped --- 4 stopped workers
place(1) worker(15) stopped --- 4 stopped workers
place(1) worker(60) stopped --- 45 stopped workers
place(1) worker(27) stopped --- 0 stopped workers
place(1) worker(5) stopped --- 0 stopped workers
place(1) worker(19) stopped --- 0 stopped workers
place(1) worker(23) stopped --- 1 stopped workers
place(1) worker(36) stopped --- 0 stopped workers
place(1) worker(53) stopped --- 0 stopped workers
place(1) worker(11) stopped --- 7 stopped workers
place(1) worker(4) stopped --- 6 stopped workers
place(1) worker(15) stopped --- 53 stopped workers
place(1) worker(16) stopped --- 4 stopped workers
place(1) worker(61) stopped --- 2 stopped workers
place(1) worker(27) stopped --- 0 stopped workers
place(1) worker(56) stopped --- 0 stopped workers
place(1) worker(32) stopped --- 55 stopped workers
place(1) worker(20) stopped --- 0 stopped workers
place(1) worker(32) stopped --- 1 stopped workers
place(1) worker(14) stopped --- 0 stopped workers
