Concurrent workers; 68
Granulatiry; 400
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(3) stopped --- 3 stopped workers
place(0) worker(2) stopped --- 4 stopped workers
place(0) worker(62) stopped --- 0 stopped workers
place(0) worker(32) stopped --- 1 stopped workers
place(0) worker(30) stopped --- 0 stopped workers
place(0) worker(52) stopped --- 6 stopped workers
place(0) worker(46) stopped --- 6 stopped workers
place(0) worker(46) stopped --- 1 stopped workers
place(0) worker(37) stopped --- 2 stopped workers
place(0) worker(63) stopped --- 0 stopped workers
place(0) worker(35) stopped --- 7 stopped workers
place(0) worker(50) stopped --- 9 stopped workers
place(0) worker(7) stopped --- 14 stopped workers
place(0) worker(2) stopped --- 23 stopped workers
place(0) worker(20) stopped --- 23 stopped workers
place(0) worker(38) stopped --- 26 stopped workers
place(0) worker(65) stopped --- 39 stopped workers
place(0) worker(51) stopped --- 46 stopped workers
place(0) worker(7) stopped --- 51 stopped workers
place(0) worker(59) stopped --- 60 stopped workers
place(0) worker(20) stopped --- 1 stopped workers
place(0) worker(65) stopped --- 0 stopped workers
place(0) worker(36) stopped --- 0 stopped workers
place(0) worker(27) stopped --- 66 stopped workers
place(0) worker(46) stopped --- 66 stopped workers
place(0) worker(2) stopped --- 64 stopped workers
place(0) worker(0) stopped --- 63 stopped workers
place(0) worker(60) stopped --- 62 stopped workers
place(0) worker(29) stopped --- 60 stopped workers
place(0) worker(50) stopped --- 61 stopped workers
place(0) worker(8) stopped --- 58 stopped workers
place(0) worker(24) stopped --- 58 stopped workers
place(0) worker(48) stopped --- 58 stopped workers
place(0) worker(1) stopped --- 57 stopped workers
place(0) worker(9) stopped --- 57 stopped workers
place(0) worker(56) stopped --- 56 stopped workers
place(0) worker(4) stopped --- 68 stopped workers
place(0) worker(26) stopped --- 52 stopped workers
place(0) worker(36) stopped --- 50 stopped workers
place(0) worker(10) stopped --- 51 stopped workers
place(0) worker(53) stopped --- 52 stopped workers
place(0) worker(52) stopped --- 51 stopped workers
place(0) worker(5) stopped --- 52 stopped workers
place(0) worker(64) stopped --- 50 stopped workers
place(0) worker(19) stopped --- 50 stopped workers
place(0) worker(17) stopped --- 50 stopped workers
place(0) worker(25) stopped --- 50 stopped workers
place(0) worker(57) stopped --- 50 stopped workers
place(0) worker(21) stopped --- 50 stopped workers
place(0) worker(40) stopped --- 47 stopped workers
place(0) worker(6) stopped --- 46 stopped workers
place(0) worker(43) stopped --- 46 stopped workers
place(0) worker(11) stopped --- 48 stopped workers
place(0) worker(13) stopped --- 46 stopped workers
place(0) worker(15) stopped --- 47 stopped workers
place(0) worker(41) stopped --- 45 stopped workers
place(0) worker(34) stopped --- 47 stopped workers
place(0) worker(12) stopped --- 45 stopped workers
place(0) worker(16) stopped --- 43 stopped workers
place(0) worker(67) stopped --- 40 stopped workers
place(0) worker(49) stopped --- 38 stopped workers
place(0) worker(58) stopped --- 33 stopped workers
place(0) worker(62) stopped --- 32 stopped workers
place(0) worker(18) stopped --- 29 stopped workers
place(0) worker(37) stopped --- 30 stopped workers
place(0) worker(47) stopped --- 27 stopped workers
place(0) worker(28) stopped --- 25 stopped workers
place(0) worker(46) stopped --- 25 stopped workers
place(0) worker(55) stopped --- 25 stopped workers
place(0) worker(61) stopped --- 25 stopped workers
place(0) worker(35) stopped --- 25 stopped workers
place(0) worker(27) stopped --- 22 stopped workers
place(0) worker(42) stopped --- 24 stopped workers
place(0) worker(44) stopped --- 22 stopped workers
place(0) worker(39) stopped --- 20 stopped workers
place(0) worker(14) stopped --- 15 stopped workers
place(0) worker(3) stopped --- 20 stopped workers
place(0) worker(32) stopped --- 19 stopped workers
