Concurrent workers; 68
Granulatiry; 1000
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(25) stopped --- 0 stopped workers
place(0) worker(39) stopped --- 0 stopped workers
place(0) worker(53) stopped --- 0 stopped workers
place(0) worker(31) stopped --- 6 stopped workers
place(0) worker(12) stopped --- 0 stopped workers
place(0) worker(58) stopped --- 6 stopped workers
place(0) worker(57) stopped --- 7 stopped workers
place(0) worker(42) stopped --- 7 stopped workers
place(0) worker(50) stopped --- 4 stopped workers
place(0) worker(43) stopped --- 4 stopped workers
place(0) worker(22) stopped --- 2 stopped workers
place(0) worker(42) stopped --- 4 stopped workers
place(0) worker(13) stopped --- 14 stopped workers
place(0) worker(47) stopped --- 29 stopped workers
place(0) worker(31) stopped --- 28 stopped workers
place(0) worker(44) stopped --- 24 stopped workers
place(0) worker(10) stopped --- 9 stopped workers
place(0) worker(55) stopped --- 5 stopped workers
place(0) worker(66) stopped --- 7 stopped workers
place(0) worker(6) stopped --- 7 stopped workers
place(0) worker(46) stopped --- 40 stopped workers
place(0) worker(21) stopped --- 43 stopped workers
place(0) worker(39) stopped --- 7 stopped workers
place(0) worker(14) stopped --- 7 stopped workers
place(0) worker(64) stopped --- 60 stopped workers
place(0) worker(34) stopped --- 7 stopped workers
place(0) worker(40) stopped --- 61 stopped workers
place(0) worker(1) stopped --- 9 stopped workers
place(0) worker(40) stopped --- 12 stopped workers
place(0) worker(13) stopped --- 12 stopped workers
place(0) worker(66) stopped --- 66 stopped workers
place(0) worker(11) stopped --- 8 stopped workers
place(0) worker(21) stopped --- 1 stopped workers
place(0) worker(63) stopped --- 4 stopped workers
place(0) worker(31) stopped --- 1 stopped workers
place(0) worker(44) stopped --- 1 stopped workers
place(0) worker(7) stopped --- 1 stopped workers
place(0): resumed after waiting on handist.collections.glb.GlbOperation@5
place(0) worker(51) stopped --- 68 stopped workers
place(0) worker(55) stopped --- 67 stopped workers
place(0) worker(22) stopped --- 66 stopped workers
place(0) worker(18) stopped --- 64 stopped workers
place(0) worker(11) stopped --- 63 stopped workers
place(0) worker(14) stopped --- 62 stopped workers
place(0) worker(35) stopped --- 60 stopped workers
place(0) worker(2) stopped --- 60 stopped workers
place(0) worker(58) stopped --- 58 stopped workers
place(0) worker(1) stopped --- 56 stopped workers
place(0) worker(61) stopped --- 54 stopped workers
place(0) worker(39) stopped --- 53 stopped workers
place(0) worker(9) stopped --- 54 stopped workers
place(0) worker(29) stopped --- 53 stopped workers
place(0) worker(25) stopped --- 55 stopped workers
place(0) worker(16) stopped --- 51 stopped workers
place(0) worker(17) stopped --- 50 stopped workers
place(0) worker(19) stopped --- 50 stopped workers
place(0) worker(0) stopped --- 51 stopped workers
place(0) worker(5) stopped --- 50 stopped workers
place(0) worker(54) stopped --- 50 stopped workers
place(0) worker(41) stopped --- 47 stopped workers
place(0) worker(6) stopped --- 42 stopped workers
place(0) worker(4) stopped --- 42 stopped workers
place(0) worker(62) stopped --- 43 stopped workers
place(0) worker(34) stopped --- 42 stopped workers
place(0) worker(32) stopped --- 42 stopped workers
place(0) worker(56) stopped --- 42 stopped workers
place(0) worker(59) stopped --- 42 stopped workers
place(0) worker(8) stopped --- 40 stopped workers
place(0) worker(52) stopped --- 39 stopped workers
place(0) worker(48) stopped --- 38 stopped workers
place(0) worker(45) stopped --- 34 stopped workers
