Concurrent workers; 68
Granulatiry; 400
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(1): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(2): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(30) stopped --- 5 stopped workers
place(0) worker(66) stopped --- 9 stopped workers
place(0) worker(1) stopped --- 6 stopped workers
place(0) worker(39) stopped --- 5 stopped workers
place(0) worker(64) stopped --- 5 stopped workers
place(0) worker(56) stopped --- 6 stopped workers
place(0) worker(3) stopped --- 6 stopped workers
place(0) worker(26) stopped --- 9 stopped workers
place(0) worker(63) stopped --- 6 stopped workers
place(0) worker(52) stopped --- 9 stopped workers
place(0) worker(4) stopped --- 6 stopped workers
place(0) worker(59) stopped --- 7 stopped workers
place(0) worker(44) stopped --- 7 stopped workers
place(0) worker(54) stopped --- 1 stopped workers
place(0) worker(29) stopped --- 0 stopped workers
place(0) worker(26) stopped --- 2 stopped workers
place(0) worker(29) stopped --- 1 stopped workers
place(0) worker(32) stopped --- 1 stopped workers
place(0) worker(5) stopped --- 0 stopped workers
place(0) worker(30) stopped --- 10 stopped workers
place(0) worker(20) stopped --- 10 stopped workers
place(0) worker(51) stopped --- 15 stopped workers
place(0) worker(37) stopped --- 29 stopped workers
place(0) worker(10) stopped --- 0 stopped workers
place(0) worker(27) stopped --- 24 stopped workers
place(0) worker(29) stopped --- 31 stopped workers
place(0) worker(18) stopped --- 53 stopped workers
place(0) worker(35) stopped --- 29 stopped workers
place(0) worker(34) stopped --- 0 stopped workers
place(0) worker(19) stopped --- 44 stopped workers
place(0) worker(34) stopped --- 50 stopped workers
place(0) worker(50) stopped --- 40 stopped workers
place(0) worker(64) stopped --- 53 stopped workers
place(0) worker(62) stopped --- 38 stopped workers
place(0) worker(54) stopped --- 39 stopped workers
place(0) worker(66) stopped --- 36 stopped workers
place(0) worker(17) stopped --- 35 stopped workers
place(0) worker(16) stopped --- 34 stopped workers
place(0) worker(13) stopped --- 34 stopped workers
place(0) worker(26) stopped --- 34 stopped workers
place(0) worker(12) stopped --- 65 stopped workers
place(0) worker(63) stopped --- 34 stopped workers
place(0) worker(23) stopped --- 34 stopped workers
place(0) worker(10) stopped --- 66 stopped workers
place(0) worker(52) stopped --- 34 stopped workers
place(0) worker(21) stopped --- 33 stopped workers
place(0) worker(28) stopped --- 33 stopped workers
place(0) worker(67) stopped --- 35 stopped workers
place(0) worker(11) stopped --- 34 stopped workers
place(0) worker(38) stopped --- 35 stopped workers
place(0) worker(57) stopped --- 34 stopped workers
place(0) worker(32) stopped --- 35 stopped workers
place(0) worker(65) stopped --- 20 stopped workers
place(0) worker(6) stopped --- 27 stopped workers
place(0) worker(55) stopped --- 29 stopped workers
place(0) worker(58) stopped --- 30 stopped workers
place(0) worker(7) stopped --- 30 stopped workers
place(0) worker(24) stopped --- 30 stopped workers
place(0) worker(48) stopped --- 30 stopped workers
place(0) worker(3) stopped --- 29 stopped workers
place(0) worker(36) stopped --- 30 stopped workers
place(0) worker(43) stopped --- 29 stopped workers
place(0) worker(56) stopped --- 29 stopped workers
place(0) worker(45) stopped --- 28 stopped workers
place(0) worker(66) stopped --- 27 stopped workers
place(0) worker(4) stopped --- 28 stopped workers
place(0) worker(0) stopped --- 25 stopped workers
place(0) worker(31) stopped --- 68 stopped workers
place(0) worker(14) stopped --- 17 stopped workers
place(0) worker(33) stopped --- 18 stopped workers
place(0) worker(46) stopped --- 14 stopped workers
place(0) worker(9) stopped --- 13 stopped workers
place(0) worker(31) stopped --- 14 stopped workers
place(0) worker(25) stopped --- 12 stopped workers
place(0) worker(65) stopped --- 14 stopped workers
place(0) worker(2) stopped --- 8 stopped workers
place(0) worker(58) stopped --- 12 stopped workers
place(0) worker(21) stopped --- 10 stopped workers
place(0) worker(10) stopped --- 10 stopped workers
place(0) worker(59) stopped --- 12 stopped workers
place(0) worker(39) stopped --- 10 stopped workers
place(0) worker(61) stopped --- 11 stopped workers
place(0) worker(53) stopped --- 11 stopped workers
place(0) worker(40) stopped --- 4 stopped workers
place(0) worker(47) stopped --- 2 stopped workers
place(0) worker(1) stopped --- 3 stopped workers
place(0) worker(50) stopped --- 2 stopped workers
place(0) worker(12) stopped --- 1 stopped workers
place(0): resumed after waiting on handist.collections.glb.GlbOperation@5
place(0) worker(61) stopped --- 67 stopped workers
place(0) worker(13) stopped --- 65 stopped workers
place(0) worker(24) stopped --- 65 stopped workers
place(0) worker(45) stopped --- 65 stopped workers
place(0) worker(7) stopped --- 64 stopped workers
place(0) worker(1) stopped --- 63 stopped workers
place(0) worker(29) stopped --- 63 stopped workers
place(0) worker(37) stopped --- 61 stopped workers
place(0) worker(4) stopped --- 59 stopped workers
place(0) worker(14) stopped --- 60 stopped workers
place(0) worker(46) stopped --- 58 stopped workers
place(0) worker(40) stopped --- 57 stopped workers
place(0) worker(22) stopped --- 56 stopped workers
place(0) worker(43) stopped --- 56 stopped workers
place(0) worker(56) stopped --- 56 stopped workers
place(0) worker(18) stopped --- 54 stopped workers
place(0) worker(3) stopped --- 56 stopped workers
place(0) worker(8) stopped --- 51 stopped workers
place(0) worker(60) stopped --- 50 stopped workers
place(0) worker(58) stopped --- 47 stopped workers
place(0) worker(30) stopped --- 44 stopped workers
place(0) worker(15) stopped --- 42 stopped workers
place(0) worker(42) stopped --- 44 stopped workers
place(0) worker(49) stopped --- 44 stopped workers
place(0) worker(41) stopped --- 44 stopped workers
place(0) worker(44) stopped --- 44 stopped workers
place(3) worker(49) stopped --- 0 stopped workers
place(3) worker(40) stopped --- 3 stopped workers
place(3) worker(58) stopped --- 0 stopped workers
place(3) worker(22) stopped --- 2 stopped workers
place(3) worker(16) stopped --- 0 stopped workers
place(3) worker(7) stopped --- 0 stopped workers
place(3) worker(46) stopped --- 9 stopped workers
place(3) worker(64) stopped --- 5 stopped workers
place(3) worker(56) stopped --- 4 stopped workers
place(3) worker(39) stopped --- 2 stopped workers
place(3) worker(50) stopped --- 1 stopped workers
place(3) worker(9) stopped --- 2 stopped workers
place(3) worker(17) stopped --- 1 stopped workers
place(3) worker(60) stopped --- 1 stopped workers
place(3) worker(30) stopped --- 8 stopped workers
place(3) worker(4) stopped --- 7 stopped workers
place(3) worker(22) stopped --- 12 stopped workers
place(3) worker(0) stopped --- 24 stopped workers
place(3) worker(5) stopped --- 31 stopped workers
place(3) worker(58) stopped --- 55 stopped workers
place(3) worker(36) stopped --- 58 stopped workers
place(3) worker(13) stopped --- 61 stopped workers
place(3) worker(1) stopped --- 62 stopped workers
place(3) worker(42) stopped --- 8 stopped workers
place(3) worker(41) stopped --- 8 stopped workers
place(3) worker(53) stopped --- 8 stopped workers
place(3) worker(40) stopped --- 7 stopped workers
place(3) worker(23) stopped --- 1 stopped workers
place(3) worker(29) stopped --- 67 stopped workers
place(3) worker(50) stopped --- 66 stopped workers
place(3) worker(7) stopped --- 65 stopped workers
place(3) worker(37) stopped --- 72 stopped workers
place(3) worker(51) stopped --- 65 stopped workers
place(3) worker(32) stopped --- 65 stopped workers
place(3) worker(20) stopped --- 65 stopped workers
place(3) worker(43) stopped --- 63 stopped workers
place(3) worker(24) stopped --- 62 stopped workers
place(3) worker(39) stopped --- 62 stopped workers
place(3) worker(59) stopped --- 62 stopped workers
place(3) worker(57) stopped --- 62 stopped workers
place(3) worker(53) stopped --- 62 stopped workers
place(3) worker(67) stopped --- 61 stopped workers
place(3) worker(15) stopped --- 61 stopped workers
place(3) worker(25) stopped --- 61 stopped workers
place(3) worker(56) stopped --- 62 stopped workers
place(3) worker(31) stopped --- 61 stopped workers
place(3) worker(46) stopped --- 61 stopped workers
place(3) worker(48) stopped --- 60 stopped workers
place(3) worker(18) stopped --- 62 stopped workers
place(3) worker(45) stopped --- 62 stopped workers
place(3) worker(6) stopped --- 61 stopped workers
place(3) worker(11) stopped --- 61 stopped workers
place(3) worker(54) stopped --- 62 stopped workers
place(3) worker(41) stopped --- 60 stopped workers
place(3) worker(63) stopped --- 60 stopped workers
place(3) worker(16) stopped --- 58 stopped workers
place(3) worker(2) stopped --- 58 stopped workers
place(3) worker(65) stopped --- 58 stopped workers
place(3) worker(49) stopped --- 58 stopped workers
place(3) worker(33) stopped --- 58 stopped workers
place(3) worker(8) stopped --- 58 stopped workers
place(3) worker(3) stopped --- 58 stopped workers
place(3) worker(38) stopped --- 58 stopped workers
place(3) worker(66) stopped --- 57 stopped workers
place(3) worker(64) stopped --- 56 stopped workers
place(3) worker(44) stopped --- 45 stopped workers
place(3) worker(27) stopped --- 39 stopped workers
place(3) worker(62) stopped --- 39 stopped workers
place(3) worker(52) stopped --- 40 stopped workers
place(3) worker(61) stopped --- 40 stopped workers
place(3) worker(34) stopped --- 28 stopped workers
place(3) worker(9) stopped --- 21 stopped workers
place(3) worker(12) stopped --- 21 stopped workers
place(3) worker(28) stopped --- 22 stopped workers
place(3) worker(10) stopped --- 22 stopped workers
place(3) worker(35) stopped --- 18 stopped workers
place(3) worker(17) stopped --- 18 stopped workers
place(3) worker(29) stopped --- 18 stopped workers
place(3) worker(21) stopped --- 14 stopped workers
place(3) worker(14) stopped --- 13 stopped workers
place(3) worker(56) stopped --- 14 stopped workers
place(3) worker(47) stopped --- 13 stopped workers
place(3) worker(19) stopped --- 10 stopped workers
place(3) worker(26) stopped --- 8 stopped workers
place(3) worker(55) stopped --- 68 stopped workers
place(3): resumed after waiting on handist.collections.glb.GlbOperation@5
place(2) worker(37) stopped --- 2 stopped workers
place(2) worker(36) stopped --- 5 stopped workers
place(2) worker(22) stopped --- 7 stopped workers
place(2) worker(38) stopped --- 4 stopped workers
place(2) worker(29) stopped --- 2 stopped workers
place(2) worker(0) stopped --- 7 stopped workers
place(2) worker(2) stopped --- 5 stopped workers
place(2) worker(9) stopped --- 0 stopped workers
place(2) worker(6) stopped --- 0 stopped workers
place(2) worker(55) stopped --- 0 stopped workers
place(2) worker(58) stopped --- 0 stopped workers
place(2) worker(38) stopped --- 21 stopped workers
place(2) worker(18) stopped --- 19 stopped workers
place(2) worker(64) stopped --- 13 stopped workers
place(2) worker(51) stopped --- 11 stopped workers
place(2) worker(27) stopped --- 19 stopped workers
place(2) worker(41) stopped --- 18 stopped workers
place(2) worker(7) stopped --- 15 stopped workers
place(2) worker(4) stopped --- 18 stopped workers
place(2) worker(8) stopped --- 16 stopped workers
place(2) worker(24) stopped --- 19 stopped workers
place(2) worker(63) stopped --- 13 stopped workers
place(2) worker(39) stopped --- 15 stopped workers
place(2) worker(11) stopped --- 20 stopped workers
place(2) worker(32) stopped --- 22 stopped workers
place(2) worker(62) stopped --- 24 stopped workers
place(2) worker(31) stopped --- 30 stopped workers
place(2) worker(12) stopped --- 19 stopped workers
place(2) worker(46) stopped --- 19 stopped workers
place(2) worker(19) stopped --- 19 stopped workers
place(2) worker(52) stopped --- 19 stopped workers
place(2) worker(34) stopped --- 35 stopped workers
place(2) worker(53) stopped --- 19 stopped workers
