Concurrent workers; 68
Granulatiry; 10
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3): thread waiting on operation handist.collections.glb.GlbOperation@5place(2): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2) worker(15) stopped --- 2 stopped workers
place(2) worker(45) stopped --- 0 stopped workers
place(2) worker(56) stopped --- 1 stopped workers
place(2) worker(7) stopped --- 1 stopped workers
place(0) worker(61) stopped --- 2 stopped workers
place(0) worker(28) stopped --- 2 stopped workers
place(0) worker(13) stopped --- 3 stopped workers
place(0) worker(32) stopped --- 1 stopped workers
place(0) worker(28) stopped --- 0 stopped workers
place(0) worker(2) stopped --- 0 stopped workers
place(0) worker(17) stopped --- 0 stopped workers
place(0) worker(11) stopped --- 1 stopped workers
place(0) worker(0) stopped --- 1 stopped workers
place(0) worker(30) stopped --- 0 stopped workers
place(0) worker(18) stopped --- 0 stopped workers
place(0) worker(29) stopped --- 15 stopped workers
place(0) worker(46) stopped --- 31 stopped workers
place(0) worker(2) stopped --- 26 stopped workers
place(0) worker(28) stopped --- 17 stopped workers
place(0) worker(67) stopped --- 0 stopped workers
place(0) worker(56) stopped --- 2 stopped workers
place(0) worker(33) stopped --- 7 stopped workers
place(0) worker(48) stopped --- 0 stopped workers
place(0) worker(53) stopped --- 16 stopped workers
place(0) worker(5) stopped --- 13 stopped workers
place(0) worker(42) stopped --- 1 stopped workers
place(0) worker(27) stopped --- 14 stopped workers
place(0) worker(50) stopped --- 14 stopped workers
place(0) worker(51) stopped --- 13 stopped workers
place(0) worker(10) stopped --- 11 stopped workers
place(0) worker(11) stopped --- 15 stopped workers
place(0) worker(20) stopped --- 16 stopped workers
place(0) worker(47) stopped --- 17 stopped workers
place(0) worker(54) stopped --- 15 stopped workers
place(0) worker(60) stopped --- 15 stopped workers
place(0) worker(36) stopped --- 15 stopped workers
place(0) worker(29) stopped --- 15 stopped workers
place(0) worker(35) stopped --- 15 stopped workers
place(0) worker(47) stopped --- 10 stopped workers
place(0) worker(1) stopped --- 12 stopped workers
place(0) worker(41) stopped --- 8 stopped workers
place(0) worker(65) stopped --- 7 stopped workers
place(0) worker(16) stopped --- 8 stopped workers
place(0) worker(52) stopped --- 6 stopped workers
place(0) worker(6) stopped --- 10 stopped workers
place(0) worker(39) stopped --- 6 stopped workers
place(0) worker(44) stopped --- 11 stopped workers
place(0) worker(37) stopped --- 11 stopped workers
place(0) worker(12) stopped --- 11 stopped workers
place(0) worker(18) stopped --- 11 stopped workers
place(0) worker(34) stopped --- 7 stopped workers
place(0) worker(41) stopped --- 11 stopped workers
place(0) worker(64) stopped --- 5 stopped workers
place(0) worker(31) stopped --- 11 stopped workers
place(0) worker(2) stopped --- 8 stopped workers
place(0) worker(22) stopped --- 10 stopped workers
place(0) worker(57) stopped --- 7 stopped workers
place(0) worker(63) stopped --- 10 stopped workers
place(0) worker(38) stopped --- 1 stopped workers
place(0) worker(36) stopped --- 2 stopped workers
place(0) worker(4) stopped --- 5 stopped workers
place(0) worker(40) stopped --- 2 stopped workers
place(0) worker(0) stopped --- 2 stopped workers
place(0) worker(6) stopped --- 0 stopped workers
place(0) worker(33) stopped --- 4 stopped workers
place(0) worker(49) stopped --- 0 stopped workers
place(0) worker(58) stopped --- 5 stopped workers
place(0) worker(63) stopped --- 3 stopped workers
place(0) worker(15) stopped --- 12 stopped workers
place(0) worker(8) stopped --- 17 stopped workers
place(0) worker(20) stopped --- 12 stopped workers
place(0) worker(4) stopped --- 13 stopped workers
place(0) worker(34) stopped --- 13 stopped workers
place(0) worker(27) stopped --- 2 stopped workers
place(0) worker(51) stopped --- 13 stopped workers
place(0) worker(54) stopped --- 14 stopped workers
place(0) worker(13) stopped --- 12 stopped workers
place(0) worker(16) stopped --- 24 stopped workers
place(0) worker(11) stopped --- 24 stopped workers
place(0) worker(5) stopped --- 8 stopped workers
place(0) worker(42) stopped --- 24 stopped workers
place(0) worker(9) stopped --- 22 stopped workers
place(0) worker(3) stopped --- 24 stopped workers
place(0) worker(63) stopped --- 7 stopped workers
place(0) worker(21) stopped --- 25 stopped workers
place(0) worker(15) stopped --- 9 stopped workers
place(0) worker(10) stopped --- 26 stopped workers
place(0) worker(45) stopped --- 8 stopped workers
place(0) worker(14) stopped --- 22 stopped workers
place(0) worker(17) stopped --- 24 stopped workers
place(0) worker(24) stopped --- 24 stopped workers
place(0) worker(56) stopped --- 25 stopped workers
place(0) worker(47) stopped --- 25 stopped workers
place(0) worker(43) stopped --- 25 stopped workers
place(0) worker(59) stopped --- 27 stopped workers
place(0) worker(52) stopped --- 14 stopped workers
place(0) worker(25) stopped --- 27 stopped workers
place(0) worker(27) stopped --- 27 stopped workers
place(0) worker(15) stopped --- 14 stopped workers
place(0) worker(61) stopped --- 27 stopped workers
place(0) worker(17) stopped --- 14 stopped workers
place(0) worker(19) stopped --- 29 stopped workers
place(0) worker(26) stopped --- 29 stopped workers
place(0) worker(40) stopped --- 16 stopped workers
place(0) worker(42) stopped --- 22 stopped workers
place(0) worker(55) stopped --- 29 stopped workers
place(0) worker(22) stopped --- 30 stopped workers
place(0) worker(19) stopped --- 19 stopped workers
place(0) worker(62) stopped --- 30 stopped workers
place(0) worker(1) stopped --- 30 stopped workers
place(0) worker(51) stopped --- 27 stopped workers
place(0) worker(34) stopped --- 19 stopped workers
place(0) worker(24) stopped --- 20 stopped workers
place(0) worker(7) stopped --- 31 stopped workers
place(0) worker(66) stopped --- 27 stopped workers
place(0) worker(44) stopped --- 27 stopped workers
place(0) worker(45) stopped --- 32 stopped workers
place(0) worker(59) stopped --- 23 stopped workers
place(0) worker(23) stopped --- 0 stopped workers
place(0) worker(32) stopped --- 0 stopped workers
place(0) worker(64) stopped --- 0 stopped workers
place(0) worker(35) stopped --- 26 stopped workers
place(0) worker(2) stopped --- 27 stopped workers
place(0) worker(15) stopped --- 2 stopped workers
place(0) worker(6) stopped --- 27 stopped workers
place(0) worker(9) stopped --- 26 stopped workers
place(0) worker(19) stopped --- 28 stopped workers
place(0) worker(43) stopped --- 26 stopped workers
place(0) worker(39) stopped --- 25 stopped workers
place(0) worker(55) stopped --- 24 stopped workers
place(0) worker(45) stopped --- 23 stopped workers
place(0) worker(20) stopped --- 22 stopped workers
place(0) worker(14) stopped --- 21 stopped workers
place(0) worker(21) stopped --- 22 stopped workers
place(0) worker(66) stopped --- 21 stopped workers
place(0) worker(17) stopped --- 20 stopped workers
place(0) worker(12) stopped --- 17 stopped workers
place(0) worker(53) stopped --- 19 stopped workers
place(0) worker(55) stopped --- 18 stopped workers
place(0) worker(61) stopped --- 18 stopped workers
place(0) worker(59) stopped --- 20 stopped workers
place(0) worker(20) stopped --- 19 stopped workers
place(0) worker(0) stopped --- 40 stopped workers
place(0) worker(38) stopped --- 18 stopped workers
place(0) worker(33) stopped --- 17 stopped workers
place(0) worker(63) stopped --- 16 stopped workers
place(0) worker(22) stopped --- 15 stopped workers
place(0) worker(55) stopped --- 16 stopped workers
place(0) worker(25) stopped --- 15 stopped workers
place(0) worker(58) stopped --- 15 stopped workers
place(0) worker(14) stopped --- 39 stopped workers
place(0) worker(30) stopped --- 13 stopped workers
place(0) worker(47) stopped --- 42 stopped workers
place(0) worker(65) stopped --- 12 stopped workers
place(0) worker(53) stopped --- 11 stopped workers
place(0) worker(39) stopped --- 12 stopped workers
place(0) worker(36) stopped --- 11 stopped workers
place(0) worker(40) stopped --- 11 stopped workers
place(0) worker(2) stopped --- 45 stopped workers
place(0) worker(18) stopped --- 47 stopped workers
place(0) worker(13) stopped --- 10 stopped workers
place(0) worker(58) stopped --- 9 stopped workers
place(0) worker(8) stopped --- 47 stopped workers
place(0) worker(52) stopped --- 9 stopped workers
place(0) worker(38) stopped --- 50 stopped workers
place(0) worker(63) stopped --- 8 stopped workers
place(0) worker(62) stopped --- 9 stopped workers
place(0) worker(12) stopped --- 7 stopped workers
place(0) worker(55) stopped --- 8 stopped workers
place(0) worker(51) stopped --- 52 stopped workers
place(0) worker(7) stopped --- 8 stopped workers
place(0) worker(56) stopped --- 9 stopped workers
place(0) worker(33) stopped --- 9 stopped workers
place(0) worker(43) stopped --- 7 stopped workers
place(0) worker(58) stopped --- 8 stopped workers
place(0) worker(53) stopped --- 7 stopped workers
place(0) worker(4) stopped --- 6 stopped workers
place(0) worker(42) stopped --- 61 stopped workers
place(0) worker(47) stopped --- 62 stopped workers
place(0) worker(14) stopped --- 5 stopped workers
place(0) worker(34) stopped --- 65 stopped workers
place(0) worker(29) stopped --- 4 stopped workers
place(0) worker(33) stopped --- 4 stopped workers
place(0) worker(5) stopped --- 66 stopped workers
place(0) worker(30) stopped --- 3 stopped workers
place(0) worker(18) stopped --- 2 stopped workers
place(0) worker(63) stopped --- 1 stopped workers
place(0) worker(43) stopped --- 2 stopped workers
place(0) worker(5) stopped --- 0 stopped workers
place(0) worker(53) stopped --- 6 stopped workers
place(0) worker(14) stopped --- 3 stopped workers
place(0) worker(53) stopped --- 3 stopped workers
place(0) worker(64) stopped --- 4 stopped workers
place(0) worker(33) stopped --- 3 stopped workers
place(0) worker(45) stopped --- 2 stopped workers
place(0) worker(14) stopped --- 2 stopped workers
place(0) worker(43) stopped --- 4 stopped workers
place(0) worker(58) stopped --- 9 stopped workers
place(0) worker(16) stopped --- 9 stopped workers
place(0) worker(14) stopped --- 7 stopped workers
place(0) worker(3) stopped --- 7 stopped workers
place(0) worker(46) stopped --- 8 stopped workers
place(0) worker(11) stopped --- 8 stopped workers
place(0) worker(58) stopped --- 9 stopped workers
place(0) worker(43) stopped --- 7 stopped workers
place(0) worker(41) stopped --- 8 stopped workers
place(0) worker(2) stopped --- 9 stopped workers
place(0) worker(30) stopped --- 9 stopped workers
place(0) worker(34) stopped --- 7 stopped workers
place(0) worker(28) stopped --- 8 stopped workers
place(0) worker(3) stopped --- 8 stopped workers
place(0) worker(58) stopped --- 8 stopped workers
place(0) worker(19) stopped --- 18 stopped workers
place(0) worker(6) stopped --- 18 stopped workers
place(0) worker(21) stopped --- 18 stopped workers
place(0) worker(26) stopped --- 17 stopped workers
place(0) worker(13) stopped --- 15 stopped workers
place(0) worker(8) stopped --- 13 stopped workers
place(0) worker(16) stopped --- 15 stopped workers
