Concurrent workers; 68
Granulatiry; 2000
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(1): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(2): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(66) stopped --- 6 stopped workers
place(0) worker(27) stopped --- 1 stopped workers
place(0) worker(57) stopped --- 5 stopped workers
place(0) worker(45) stopped --- 2 stopped workers
place(0) worker(40) stopped --- 21 stopped workers
place(0) worker(39) stopped --- 21 stopped workers
place(0) worker(15) stopped --- 5 stopped workers
place(0) worker(5) stopped --- 5 stopped workers
place(0) worker(18) stopped --- 21 stopped workers
place(0) worker(3) stopped --- 21 stopped workers
place(0) worker(48) stopped --- 21 stopped workers
place(0) worker(32) stopped --- 21 stopped workers
place(0) worker(62) stopped --- 21 stopped workers
place(0) worker(60) stopped --- 2 stopped workers
place(0) worker(10) stopped --- 21 stopped workers
place(0) worker(22) stopped --- 10 stopped workers
place(0) worker(20) stopped --- 25 stopped workers
place(0) worker(6) stopped --- 28 stopped workers
place(0) worker(25) stopped --- 28 stopped workers
place(0) worker(50) stopped --- 21 stopped workers
place(0) worker(34) stopped --- 21 stopped workers
place(0) worker(27) stopped --- 30 stopped workers
place(0) worker(18) stopped --- 35 stopped workers
place(0) worker(14) stopped --- 38 stopped workers
place(0) worker(36) stopped --- 21 stopped workers
place(0) worker(30) stopped --- 21 stopped workers
place(0) worker(1) stopped --- 21 stopped workers
place(0) worker(6) stopped --- 51 stopped workers
place(0) worker(30) stopped --- 53 stopped workers
place(0) worker(39) stopped --- 61 stopped workers
place(0) worker(65) stopped --- 5 stopped workers
place(0) worker(53) stopped --- 5 stopped workers
place(0) worker(61) stopped --- 66 stopped workers
place(0) worker(33) stopped --- 65 stopped workers
place(0) worker(67) stopped --- 65 stopped workers
place(0) worker(64) stopped --- 64 stopped workers
place(0) worker(46) stopped --- 61 stopped workers
place(0) worker(13) stopped --- 61 stopped workers
place(0) worker(62) stopped --- 62 stopped workers
place(0) worker(15) stopped --- 61 stopped workers
place(0) worker(56) stopped --- 56 stopped workers
place(0) worker(42) stopped --- 68 stopped workers
place(0) worker(65) stopped --- 58 stopped workers
place(0) worker(57) stopped --- 56 stopped workers
place(0) worker(28) stopped --- 54 stopped workers
place(0) worker(3) stopped --- 51 stopped workers
place(0) worker(54) stopped --- 51 stopped workers
place(0) worker(55) stopped --- 52 stopped workers
place(0) worker(37) stopped --- 51 stopped workers
